id,slug,name_en,name_nl,name_thai,category,type,description_en,description_nl,ingredients,allergens,dietary,image,temperature,alcohol_content,caffeine,price_range,region,occasions
1,thai-iced-tea,Thai Iced Tea,Thaise IJsthee,ชาเย็น,tea,cold,Strong black tea with condensed milk and evaporated milk served over ice,Sterke zwarte thee met gecondenseerde melk en verdampte melk geserveerd over ijs,"black tea, condensed milk, evaporated milk, sugar, ice",dairy,vegetarian,/images/drinks/thai-iced-tea.webp,cold,none,high,budget,central,"street food, restaurants"
2,thai-iced-coffee,Thai Iced Coffee,Thaise IJskoffie,กาแฟเย็น,coffee,cold,Strong coffee with condensed milk served over ice,Sterke koffie met gecondenseerde melk geserveerd over ijs,"coffee, condensed milk, evaporated milk, sugar, ice",dairy,vegetarian,/images/drinks/thai-iced-coffee.webp,cold,none,high,budget,central,"breakfast, afternoon"
3,nam-manao,Fresh Lime Juice,Verse Limoensap,น้ำมะนาว,juice,cold,Fresh squeezed lime juice with sugar and salt,Vers geperst limoensap met suiker en zout,"fresh lime, sugar, salt, water, ice",none,vegan,/images/drinks/nam-manao.webp,cold,none,none,budget,all,"hot weather, meals"
4,nam-bai-makrut,Kaffir Lime Juice,Kaffir Limoensap,น้ำใบมะกรูด,herbal,cold,Refreshing drink made from kaffir lime leaves,Verfrissende drank gemaakt van kaffir limoenbladeren,"kaffir lime leaves, sugar, water, ice",none,vegan,/images/drinks/nam-bai-makrut.webp,cold,none,none,budget,central,"health drink, detox"
5,nam-krajiab,Roselle Juice,Hibiscus Sap,น้ำกระเจี๊ยบ,herbal,both,Sweet and tart hibiscus flower tea,Zoete en zure hibiscus bloementhee,"dried roselle flowers, sugar, water",none,vegan,/images/drinks/nam-krajiab.webp,both,none,none,budget,all,"health drink, refreshment"
6,nam-matoom,Bael Fruit Juice,Bael Vruchtensap,น้ำมะตูม,herbal,both,Traditional herbal drink from bael fruit,Traditionele kruidendrank van bael fruit,"dried bael fruit, sugar, water",none,vegan,/images/drinks/nam-matoom.webp,both,none,none,budget,central,"digestive aid, health"
7,nam-anchan,Butterfly Pea Tea,Vlindererwt Thee,น้ำอัญชัน,herbal,both,Beautiful blue tea from butterfly pea flowers,Mooie blauwe thee van vlindererwt bloemen,"butterfly pea flowers, sugar, lime juice",none,vegan,/images/drinks/nam-anchan.webp,both,none,none,budget,all,"health drink, instagram"
8,singha-beer,Singha Beer,Singha Bier,เบียร์สิงห์,alcohol,cold,Thailand's premium lager beer,Thailand's premium pils bier,"barley, hops, water",gluten,none,/images/drinks/singha-beer.webp,cold,5%,none,mid-range,all,"social, dinner"
9,chang-beer,Chang Beer,Chang Bier,เบียร์ช้าง,alcohol,cold,Popular Thai beer with elephant logo,Populair Thais bier met olifant logo,"barley, hops, water",gluten,none,/images/drinks/chang-beer.webp,cold,5%,none,budget,all,"social, casual"
10,leo-beer,Leo Beer,Leo Bier,เบียร์ลีโอ,alcohol,cold,Smooth and easy-drinking Thai beer,Zacht en makkelijk drinkbaar Thais bier,"barley, hops, water",gluten,none,/images/drinks/leo-beer.webp,cold,5%,none,budget,all,"social, meals"
11,mekong-whisky,Mekong Whisky,Mekong Whisky,แม่โขง,alcohol,neat,Traditional Thai rice whisky,Traditionele Thaise rijst whisky,"rice, sugarcane",none,none,/images/drinks/mekong-whisky.webp,neat,35%,none,budget,all,"celebrations, social"
12,sangsom-rum,SangSom Rum,SangSom Rum,แสงโสม,alcohol,mixed,Thai rum often mixed with cola,Thaise rum vaak gemixt met cola,"sugarcane",none,none,/images/drinks/sangsom-rum.webp,mixed,40%,none,budget,all,"parties, nightlife"
13,sato,Sato Rice Wine,Sato Rijstwijn,สาโท,alcohol,room,Traditional northeastern rice wine,Traditionele noordoostelijke rijstwijn,"glutinous rice, yeast herbs",none,none,/images/drinks/sato.webp,room,10-15%,none,budget,northeastern,"festivals, ceremonies"
14,coconut-water,Fresh Coconut Water,Vers Kokoswater,น้ำมะพร้าว,natural,cold,Natural isotonic drink straight from coconut,Natuurlijke isotone drank direct uit kokosnoot,"coconut water",none,vegan,/images/drinks/coconut-water.webp,cold,none,none,budget,all,"beach, hot weather"
15,sugarcane-juice,Sugarcane Juice,Suikerriet Sap,น้ำอ้อย,juice,cold,Fresh pressed sugarcane juice,Vers geperst suikerriet sap,"sugarcane",none,vegan,/images/drinks/sugarcane-juice.webp,cold,none,none,budget,all,"street food, energy"
16,nam-dok-anchan-manao,Blue Lemonade,Blauwe Limonade,น้ำดอกอัญชันมะนาว,mocktail,cold,Butterfly pea flower lemonade that changes color,Vlindererwt bloem limonade die van kleur verandert,"butterfly pea flowers, lime juice, sugar, soda water",none,vegan,/images/drinks/blue-lemonade.webp,cold,none,none,mid-range,modern,"instagram, trendy cafes"
17,thai-milk-tea,Thai Milk Tea,Thaise Melkthee,ชานม,tea,hot,Hot version of Thai tea with milk,Warme versie van Thaise thee met melk,"black tea, condensed milk, sugar",dairy,vegetarian,/images/drinks/thai-milk-tea.webp,hot,none,high,budget,central,"breakfast, afternoon"
18,ginger-tea,Ginger Tea,Gember Thee,ชาขิง,herbal,hot,Spicy ginger tea for digestion and cold relief,Pittige gemberthee voor spijsvertering en verkoudheid,"fresh ginger, honey, lime",none,vegan,/images/drinks/ginger-tea.webp,hot,none,none,budget,all,"health, cold weather"
19,lemongrass-tea,Lemongrass Tea,Citroengras Thee,ชาตะไคร้,herbal,hot,Aromatic herbal tea from lemongrass,Aromatische kruidenthee van citroengras,"lemongrass, honey",none,vegan,/images/drinks/lemongrass-tea.webp,hot,none,none,budget,all,"digestion, relaxation"
20,chrysanthemum-tea,Chrysanthemum Tea,Chrysanten Thee,ชาเก๊กฮวย,herbal,both,Cooling floral tea,Verkoelende bloementhee,"dried chrysanthemum flowers, rock sugar",none,vegan,/images/drinks/chrysanthemum-tea.webp,both,none,none,budget,chinese-thai,"cooling, health"
21,sala-syrup-soda,Sala Syrup Soda,Sala Siroop Soda,น้ำแดงโซดา,soda,cold,Bright red sala palm syrup with soda water,Felrode sala palm siroop met sodawater,"sala syrup, soda water, ice",none,vegan,/images/drinks/sala-syrup-soda.webp,cold,none,none,budget,central,"refreshment, street food"
22,nam-oy,Sugarcane Water,Suikerriet Water,น้ำอ้อย,juice,cold,Fresh sugarcane juice sometimes with added flavors,Vers suikerriet sap soms met toegevoegde smaken,"sugarcane, lime, salt",none,vegan,/images/drinks/nam-oy.webp,cold,none,none,budget,all,"energy boost, street"
23,oliang,Thai Black Coffee,Thaise Zwarte Koffie,โอเลี้ยง,coffee,both,Traditional Thai coffee with added grains,Traditionele Thaise koffie met toegevoegde granen,"coffee, corn, soybeans, sesame",none,vegan,/images/drinks/oliang.webp,both,none,high,budget,central,"breakfast, traditional"
24,nom-yen,Pink Milk,Roze Melk,นมเย็น,milk,cold,Sweet pink milk drink,Zoete roze melkdrank,"milk, sala syrup, sugar, ice",dairy,vegetarian,/images/drinks/nom-yen.webp,cold,none,none,budget,central,"children, sweet treat"
25,manao-soda,Lime Soda,Limoen Soda,มะนาวโซดา,soda,cold,Fresh lime juice with soda water,Vers limoensap met sodawater,"lime juice, soda water, sugar, salt, ice",none,vegan,/images/drinks/manao-soda.webp,cold,none,none,budget,all,"meals, refreshment"